ticker,fiscal_year,fiscal_quarter,ratio_updays,ratio_up10days,ratio_up60days,upday_50,upday10_50,upday60_50,ratio_up_return,ratio_up_volume,beat
ADBE,2000,1,0.35294117647058826,0.38235294117647056,0.38235294117647056,0.0,0.0,0.0,0.2647058823529412,0.2647058823529412,1.0
ADBE,2000,2,0.6290322580645161,0.7258064516129032,0.3870967741935484,1.0,1.0,0.0,0.4838709677419355,0.24193548387096775,1.0
ADBE,2000,3,0.421875,0.515625,0.90625,0.0,1.0,1.0,0.375,0.265625,1.0
ADBE,2000,4,0.5076923076923077,0.6153846153846154,0.676923076923077,1.0,1.0,1.0,0.4307692307692308,0.23076923076923078,1.0
ADBE,2001,1,0.5,0.43548387096774194,0.27419354838709675,0.0,0.0,0.0,0.3870967741935484,0.20967741935483872,1.0
ADBE,2001,2,0.4426229508196721,0.4262295081967213,0.2459016393442623,0.0,0.0,0.0,0.3114754098360656,0.29508196721311475,1.0
ADBE,2001,3,0.4375,0.40625,0.71875,0.0,0.0,1.0,0.359375,0.21875,0.0
ADBE,2001,4,0.47540983606557374,0.3114754098360656,0.04918032786885246,0.0,0.0,0.0,0.32786885245901637,0.2459016393442623,0.0
ADBE,2002,1,0.5161290322580645,0.5806451612903226,0.8225806451612904,1.0,1.0,1.0,0.4032258064516129,0.24193548387096775,1.0
ADBE,2002,2,0.47540983606557374,0.5737704918032787,0.9180327868852459,0.0,1.0,1.0,0.32786885245901637,0.26229508196721313,1.0
ADBE,2002,3,0.390625,0.265625,0.140625,0.0,0.0,0.0,0.28125,0.234375,1.0
ADBE,2002,4,0.5230769230769231,0.5384615384615384,0.27692307692307694,1.0,1.0,0.0,0.4153846153846154,0.23076923076923078,1.0
ADBE,2003,1,0.5409836065573771,0.5737704918032787,0.8032786885245902,1.0,1.0,1.0,0.3442622950819672,0.26229508196721313,1.0
ADBE,2003,2,0.5483870967741935,0.7096774193548387,0.8064516129032258,1.0,1.0,1.0,0.3387096774193548,0.24193548387096775,1.0
ADBE,2003,3,0.5,0.453125,0.53125,0.0,0.0,1.0,0.265625,0.21875,1.0
ADBE,2003,4,0.59375,0.765625,0.90625,1.0,1.0,1.0,0.328125,0.25,1.0
ADBE,2004,1,0.4426229508196721,0.47540983606557374,0.16393442622950818,0.0,0.0,0.0,0.21311475409836064,0.29508196721311475,1.0
ADBE,2004,2,0.47619047619047616,0.6190476190476191,0.5396825396825397,0.0,1.0,1.0,0.2222222222222222,0.1746031746031746,1.0
ADBE,2004,3,0.5,0.5161290322580645,0.7258064516129032,0.0,1.0,1.0,0.25806451612903225,0.25806451612903225,1.0
ADBE,2004,4,0.6461538461538462,0.8461538461538461,0.8461538461538461,1.0,1.0,1.0,0.27692307692307694,0.2,1.0
ADBE,2005,1,0.47619047619047616,0.5555555555555556,0.7142857142857143,0.0,1.0,1.0,0.19047619047619047,0.2857142857142857,1.0
ADBE,2005,2,0.4426229508196721,0.5737704918032787,0.819672131147541,0.0,1.0,1.0,0.21311475409836064,0.19672131147540983,1.0
ADBE,2005,3,0.578125,0.484375,0.28125,1.0,0.0,0.0,0.203125,0.25,1.0
